corruption,magnitude,Hstar,H_mm,tip_collision_rate,body_collision_rate,off_object_rate
combined,1.02,10.0,4.0,0.1341014643555059,1.4567571866804072,0.0
combined,1.05,10.0,4.0,0.10436078187195623,1.043250681652561,0.1045465760491667
combined,1.1,10.0,4.0,0.05550416281221091,0.9930421934006228,2.776410752362147
combined,1.2,10.0,4.0,0.06069802731411229,0.5483004607546345,13.704706326411326
noise,0.5,20.0,8.0,0.0,0.0,0.0
noise,1.0,20.0,8.0,0.0,0.0,0.0
noise,2.0,20.0,8.0,0.0,0.0,0.0
scale,0.98,20.0,8.0,0.0,0.0,0.0
scale,0.95,20.0,8.0,0.0,0.0,0.0
scale,0.9,20.0,8.0,0.0,0.0,0.0
scale,0.8,20.0,8.0,0.0,0.0,0.0
scale,1.02,20.0,8.0,0.0,0.0,0.0
scale,1.05,20.0,8.0,0.0,0.0,0.0
scale,1.1,20.0,8.0,0.0,0.0,1.8234165067178503
scale,1.2,20.0,8.0,0.0,0.0,13.186813186813188
combined,0.98,20.0,8.0,0.0,0.0,0.0
combined,0.95,20.0,8.0,0.0,0.0,0.0
combined,0.9,20.0,8.0,0.0,0.0,0.0
combined,0.8,20.0,8.0,0.0,0.0,0.0
combined,1.02,20.0,8.0,0.0,0.0,0.0
combined,1.05,20.0,8.0,0.0,0.0,0.1045465760491667
combined,1.1,20.0,8.0,0.0,0.0,2.776410752362147
combined,1.2,20.0,8.0,0.0,0.0,13.704706326411326
noise,0.5,30.0,12.0,0.0,0.0,0.0
noise,1.0,30.0,12.0,0.0,0.0,0.0
noise,2.0,30.0,12.0,0.0,0.0,0.0
scale,0.98,30.0,12.0,0.0,0.0,0.0
scale,0.95,30.0,12.0,0.0,0.0,0.0
scale,0.9,30.0,12.0,0.0,0.0,0.0
scale,0.8,30.0,12.0,0.0,0.0,0.0
scale,1.02,30.0,12.0,0.0,0.0,0.0
scale,1.05,30.0,12.0,0.0,0.0,0.0
scale,1.1,30.0,12.0,0.0,0.0,1.8234165067178503
scale,1.2,30.0,12.0,0.0,0.0,13.186813186813188
combined,0.98,30.0,12.0,0.0,0.0,0.0
combined,0.95,30.0,12.0,0.0,0.0,0.0
combined,0.9,30.0,12.0,0.0,0.0,0.0
combined,0.8,30.0,12.0,0.0,0.0,0.0
combined,1.02,30.0,12.0,0.0,0.0,0.0
combined,1.05,30.0,12.0,0.0,0.0,0.1045465760491667
combined,1.1,30.0,12.0,0.0,0.0,2.776410752362147
combined,1.2,30.0,12.0,0.0,0.0,13.704706326411326
noise,0.5,40.0,16.0,0.0,0.0,0.0
noise,1.0,40.0,16.0,0.0,0.0,0.0
noise,2.0,40.0,16.0,0.0,0.0,0.0
scale,0.98,40.0,16.0,0.0,0.0,0.0
scale,0.95,40.0,16.0,0.0,0.0,0.0
scale,0.9,40.0,16.0,0.0,0.0,0.0
scale,0.8,40.0,16.0,0.0,0.0,0.0
scale,1.02,40.0,16.0,0.0,0.0,0.0
scale,1.05,40.0,16.0,0.0,0.0,0.0
scale,1.1,40.0,16.0,0.0,0.0,1.8234165067178503
scale,1.2,40.0,16.0,0.0,0.0,13.186813186813188
combined,0.98,40.0,16.0,0.0,0.0,0.0
combined,0.95,40.0,16.0,0.0,0.0,0.0
combined,0.9,40.0,16.0,0.0,0.0,0.0
combined,0.8,40.0,16.0,0.0,0.0,0.0
combined,1.02,40.0,16.0,0.0,0.0,0.0
